paper,conf,year,doi,position,name,orcid,identity
agile_2024_005,agile,2024,10.5194/agile-giss-5-6-2024,2,Negar Alinaghi,0000-0001-6594-4481,orcid:0000-0001-6594-4481
agile_2024_005,agile,2024,10.5194/agile-giss-5-6-2024,3,Ioannis Giannopoulos,0000-0002-2556-5230,orcid:0000-0002-2556-5230
agile_2024_013,agile,2024,10.5194/agile-giss-5-14-2024,1,Guy Solomon,0000-0002-4394-1498,orcid:0000-0002-4394-1498
agile_2024_013,agile,2024,10.5194/agile-giss-5-14-2024,2,Dominick Sutton,0000-0003-4881-4380,orcid:0000-0003-4881-4380
agile_2024_013,agile,2024,10.5194/agile-giss-5-14-2024,3,Merve Polat Kayali,0009-0009-6949-4284,orcid:0009-0009-6949-4284
agile_2024_013,agile,2024,10.5194/agile-giss-5-14-2024,4,Xinyi Yuan,0009-0003-7790-3662,orcid:0009-0003-7790-3662
agile_2024_013,agile,2024,10.5194/agile-giss-5-14-2024,5,Zöe Gardner,0000-0002-4099-1633,orcid:0000-0002-4099-1633
agile_2024_013,agile,2024,10.5194/agile-giss-5-14-2024,6,Anahid Basiri,0000-0002-2399-1797,orcid:0000-0002-2399-1797
giscience_2016_002,giscience,2016,10.1007/978-3-319-45738-3_2,1,Jan‐Henrik Haunert,0000-0001-8005-943X,orcid:0000-0001-8005-943X
giscience_2016_002,giscience,2016,10.1007/978-3-319-45738-3_2,2,Wouter Meulemans,0000-0002-4978-3400,orcid:0000-0002-4978-3400
giscience_2016_010,giscience,2016,10.1007/978-3-319-45738-3_10,1,Tuhin Paul,0000-0001-8969-670X,orcid:0000-0001-8969-670X
giscience_2016_010,giscience,2016,10.1007/978-3-319-45738-3_10,2,Kevin G. Stanley,0009-0006-6170-3916,orcid:0009-0006-6170-3916
giscience_2016_010,giscience,2016,10.1007/978-3-319-45738-3_10,3,Nathaniel Osgood,0000-0002-3994-3298,orcid:0000-0002-3994-3298
giscience_2016_010,giscience,2016,10.1007/978-3-319-45738-3_10,4,Scott Bell,0000-0003-4713-4084,orcid:0000-0003-4713-4084
giscience_2016_010,giscience,2016,10.1007/978-3-319-45738-3_10,5,Nazeem Muhajarine,0000-0001-6781-5421,orcid:0000-0001-6781-5421
giscience_2018_001,giscience,2018,10.4230/LIPIcs.GIScience.2018.1,1,David Amores,0000-0002-6728-6344,orcid:0000-0002-6728-6344
giscience_2018_001,giscience,2018,10.4230/LIPIcs.GIScience.2018.1,2,Maria Vasardani,0000-0003-0208-0561,orcid:0000-0003-0208-0561
giscience_2018_001,giscience,2018,10.4230/LIPIcs.GIScience.2018.1,3,Egemen Tanin,0000-0001-5014-1969,orcid:0000-0001-5014-1969
giscience_2018_009,giscience,2018,10.4230/LIPIcs.GIScience.2018.9,1,Sara Lafia,0000-0002-5896-7295,orcid:0000-0002-5896-7295
giscience_2018_009,giscience,2018,10.4230/LIPIcs.GIScience.2018.9,2,Andrew Turner,0000-0003-3821-7400,orcid:0000-0003-3821-7400
giscience_2018_009,giscience,2018,10.4230/LIPIcs.GIScience.2018.9,3,W. Kühn,0000-0002-4491-0132,orcid:0000-0002-4491-0132
giscience_2018_017,giscience,2018,10.4230/LIPIcs.GIScience.2018.17,1,Bo Yan,0000-0002-4248-7203,orcid:0000-0002-4248-7203
giscience_2018_017,giscience,2018,10.4230/LIPIcs.GIScience.2018.17,2,Krzysztof Janowicz,0009-0003-1968-887X,orcid:0009-0003-1968-887X
giscience_2018_017,giscience,2018,10.4230/LIPIcs.GIScience.2018.17,3,Gengchen Mai,0000-0002-7818-7309,orcid:0000-0002-7818-7309
giscience_2018_017,giscience,2018,10.4230/LIPIcs.GIScience.2018.17,4,Rui Zhu,0000-0002-8910-9445,orcid:0000-0002-8910-9445
giscience_2021_001,giscience,2020,10.4230/lipics.giscience.2021.i.1,1,Debjit Bhowmick,0000-0002-4877-0990,orcid:0000-0002-4877-0990
giscience_2021_001,giscience,2020,10.4230/lipics.giscience.2021.i.1,2,Stephan Winter,0000-0002-3403-6939,orcid:0000-0002-3403-6939
giscience_2021_001,giscience,2020,10.4230/lipics.giscience.2021.i.1,3,Mark Stevenson,0000-0003-3166-5876,orcid:0000-0003-3166-5876
giscience_2021_009,giscience,2020,10.4230/lipics.giscience.2021.i.9,1,Sadegh Motallebi,0000-0002-4192-5670,orcid:0000-0002-4192-5670
giscience_2021_009,giscience,2020,10.4230/lipics.giscience.2021.i.9,2,Hairuo Xie,0000-0002-9085-2041,orcid:0000-0002-9085-2041
giscience_2021_009,giscience,2020,10.4230/lipics.giscience.2021.i.9,3,Egemen Tanin,0000-0001-5014-1969,orcid:0000-0001-5014-1969
giscience_2021_009,giscience,2020,10.4230/lipics.giscience.2021.i.9,4,Kotagiri Ramamohanarao,0000-0003-3304-9268,orcid:0000-0003-3304-9268
giscience_2021_018,giscience,2021,10.4230/lipics.giscience.2021.ii.2,1,"Ostermann, Frank O.",0000-0002-9317-8291,orcid:0000-0002-9317-8291
giscience_2021_018,giscience,2021,10.4230/lipics.giscience.2021.ii.2,2,"Nüst, Daniel",0000-0002-0024-5046,orcid:0000-0002-0024-5046
giscience_2021_018,giscience,2021,10.4230/lipics.giscience.2021.ii.2,3,"Granell, Carlos",0000-0003-1004-9695,orcid:0000-0003-1004-9695
giscience_2021_018,giscience,2021,10.4230/lipics.giscience.2021.ii.2,4,"Hofer, Barbara",0000-0001-7078-3766,orcid:0000-0001-7078-3766
giscience_2021_018,giscience,2021,10.4230/lipics.giscience.2021.ii.2,5,"Konkol, Markus",0000-0001-6651-0976,orcid:0000-0001-6651-0976
giscience_2021_025,giscience,2021,10.4230/lipics.giscience.2021.ii.9,1,Bartosz Mazurkiewicz,0000-0001-9400-0084,orcid:0000-0001-9400-0084
giscience_2021_025,giscience,2021,10.4230/lipics.giscience.2021.ii.9,2,Markus Kattenbeck,0000-0001-6028-0428,orcid:0000-0001-6028-0428
giscience_2021_025,giscience,2021,10.4230/lipics.giscience.2021.ii.9,3,Ioannis Giannopoulos,0000-0002-2556-5230,orcid:0000-0002-2556-5230
giscience_2023_008,giscience,2023,10.4230/LIPIcs.GIScience.2023.8,1,"Lotfian, Maryam",0000-0003-3196-0373,orcid:0000-0003-3196-0373
giscience_2023_008,giscience,2023,10.4230/LIPIcs.GIScience.2023.8,2,"Ingensand, Jens",0000-0003-3330-4986,orcid:0000-0003-3330-4986
giscience_2023_008,giscience,2023,10.4230/LIPIcs.GIScience.2023.8,3,"Claramunt, Christophe",0000-0002-5586-1997,orcid:0000-0002-5586-1997
