paper,conf,year,doi,position,name,orcid,identity
agile_2017_016,agile,2017,10.1007/978-3-319-56759-4_16,2,João Moura Pires,0000-0001-9933-936X,orcid:0000-0001-9933-936X
agile_2017_016,agile,2017,10.1007/978-3-319-56759-4_16,3,Maribel Yasmina Santos,0000-0002-3249-6229,orcid:0000-0002-3249-6229
agile_2019_005,agile,2019,10.1007/978-3-030-14745-7_5,1,Pengxiang Zhao,0000-0002-5279-9331,orcid:0000-0002-5279-9331
agile_2019_005,agile,2019,10.1007/978-3-030-14745-7_5,2,Dominik Bucher,0000-0001-9824-5388,orcid:0000-0001-9824-5388
agile_2019_005,agile,2019,10.1007/978-3-030-14745-7_5,3,Henry Martin,0000-0002-0456-8539,orcid:0000-0002-0456-8539
agile_2019_005,agile,2019,10.1007/978-3-030-14745-7_5,4,Martin Raubal,0000-0001-5951-6835,orcid:0000-0001-5951-6835
agile_2019_013,agile,2019,10.1007/978-3-030-14745-7_13,1,Nikos Patias,0000-0002-6542-2330,orcid:0000-0002-6542-2330
agile_2019_013,agile,2019,10.1007/978-3-030-14745-7_13,2,Francisco Rowe,0000-0003-4137-0246,orcid:0000-0003-4137-0246
agile_2019_013,agile,2019,10.1007/978-3-030-14745-7_13,3,Stefano Cavazzi,0000-0003-3575-0365,orcid:0000-0003-3575-0365
agile_2021_001,agile,2021,10.5194/agile-giss-2-1-2021,1,Gabriel Dax,0000-0002-1511-5770,orcid:0000-0002-1511-5770
agile_2021_001,agile,2021,10.5194/agile-giss-2-1-2021,2,Martin Werner,0000-0002-6951-8022,orcid:0000-0002-6951-8022
agile_2021_009,agile,2021,10.5194/agile-giss-2-9-2021,1,Alec Parise,0009-0007-2303-3760,orcid:0009-0007-2303-3760
agile_2021_009,agile,2021,10.5194/agile-giss-2-9-2021,2,Miguel Ángel Manso Callejo,0000-0003-2307-8639,orcid:0000-0003-2307-8639
agile_2021_009,agile,2021,10.5194/agile-giss-2-9-2021,3,Hung Cao,0000-0002-0788-4377,orcid:0000-0002-0788-4377
agile_2021_009,agile,2021,10.5194/agile-giss-2-9-2021,4,Mónica Wachowicz,0000-0002-4659-0101,orcid:0000-0002-4659-0101
agile_2018_006,agile,2018,10.1007/978-3-319-78208-9_6,1,Timothée Produit,,name:produit timothee
agile_2018_006,agile,2018,10.1007/978-3-319-78208-9_6,2,Jens Ingensand,0000-0003-3330-4986,orcid:0000-0003-3330-4986
agile_2018_014,agile,2018,10.1007/978-3-319-78208-9_14,1,Samira Khoshahval,,name:khoshahval samira
agile_2018_014,agile,2018,10.1007/978-3-319-78208-9_14,2,Mahdi Farnaghi,0000-0002-3071-5563,orcid:0000-0002-3071-5563
agile_2018_014,agile,2018,10.1007/978-3-319-78208-9_14,3,Mohammad Taleai,0000-0002-8419-4425,orcid:0000-0002-8419-4425
agile_2018_014,agile,2018,10.1007/978-3-319-78208-9_14,4,Ali Mansourian,0000-0001-6812-4307,orcid:0000-0001-6812-4307
agile_2020_008,agile,2020,10.5194/agile-giss-1-9-2020,1,Hiroyuki Kaneko,0000-0002-8213-8948,orcid:0000-0002-8213-8948
agile_2020_008,agile,2020,10.5194/agile-giss-1-9-2020,2,Toshihiro Osaragi,0000-0002-6327-3976,orcid:0000-0002-6327-3976
agile_2020_016,agile,2020,10.5194/agile-giss-1-17-2020,1,Yoshiki Ogawa,0000-0002-1987-4520,orcid:0000-0002-1987-4520
agile_2020_016,agile,2020,10.5194/agile-giss-1-17-2020,2,Taisei Sato,,name:sato taisei
agile_2020_016,agile,2020,10.5194/agile-giss-1-17-2020,3,Yoshihide Sekimoto,0000-0003-0305-7056,orcid:0000-0003-0305-7056
agile_2022_006,agile,2022,10.5194/agile-giss-3-6-2022,1,Ditsuhi Iskandaryan,0000-0001-6668-2700,orcid:0000-0001-6668-2700
agile_2022_006,agile,2022,10.5194/agile-giss-3-6-2022,2,Silvana Di Sabatino,0000-0003-2716-9247,orcid:0000-0003-2716-9247
agile_2022_006,agile,2022,10.5194/agile-giss-3-6-2022,3,Francisco Ramos,0000-0003-2540-4741,orcid:0000-0003-2540-4741
agile_2022_006,agile,2022,10.5194/agile-giss-3-6-2022,4,Sergio Trilles,0000-0002-9304-0719,orcid:0000-0002-9304-0719
agile_2022_014,agile,2022,10.5194/agile-giss-3-14-2022,1,Arun Sharma,0000-0002-6908-6960,orcid:0000-0002-6908-6960
agile_2022_014,agile,2022,10.5194/agile-giss-3-14-2022,2,Majid Farhadloo,0000-0001-8602-0165,orcid:0000-0001-8602-0165
agile_2022_014,agile,2022,10.5194/agile-giss-3-14-2022,3,Yan Li,0000-0001-6155-0389,orcid:0000-0001-6155-0389
agile_2022_014,agile,2022,10.5194/agile-giss-3-14-2022,4,Jayant Gupta,0000-0001-7028-9928,orcid:0000-0001-7028-9928
agile_2022_014,agile,2022,10.5194/agile-giss-3-14-2022,5,A.R. Kulkarni,0000-0001-8981-6417,orcid:0000-0001-8981-6417
agile_2022_014,agile,2022,10.5194/agile-giss-3-14-2022,6,Shashi Shekhar,0000-0002-3191-3879,orcid:0000-0002-3191-3879
agile_2022_022,agile,2022,10.5194/agile-giss-3-22-2022,1,Stefania Zourlidou,0000-0003-1759-7379,orcid:0000-0003-1759-7379
agile_2022_022,agile,2022,10.5194/agile-giss-3-22-2022,2,Jens Golze,0000-0001-7355-351X,orcid:0000-0001-7355-351X
agile_2022_022,agile,2022,10.5194/agile-giss-3-22-2022,3,Monika Sester,0000-0002-6656-8809,orcid:0000-0002-6656-8809
agile_2023_004,agile,2023,10.5194/agile-giss-4-5-2023,1,Simon Groß,0009-0002-2813-0811,orcid:0009-0002-2813-0811
agile_2023_004,agile,2023,10.5194/agile-giss-4-5-2023,2,Benjamin Herfort,0000-0001-9738-4060,orcid:0000-0001-9738-4060
agile_2023_004,agile,2023,10.5194/agile-giss-4-5-2023,3,Sabrina Marx,0000-0002-8465-6589,orcid:0000-0002-8465-6589
agile_2023_004,agile,2023,10.5194/agile-giss-4-5-2023,4,Alexander Zipf,0000-0003-4916-9838,orcid:0000-0003-4916-9838
agile_2023_012,agile,2023,10.5194/agile-giss-4-13-2023,1,Eleni Tomai,0000-0003-1162-7389,orcid:0000-0003-1162-7389
agile_2023_012,agile,2023,10.5194/agile-giss-4-13-2023,2,Margarita Kokla,0000-0002-0369-7099,orcid:0000-0002-0369-7099
agile_2023_012,agile,2023,10.5194/agile-giss-4-13-2023,3,Christos Charcharos,0000-0002-1328-9603,orcid:0000-0002-1328-9603
agile_2023_012,agile,2023,10.5194/agile-giss-4-13-2023,4,Marinos Kavouras,0000-0001-7563-0793,orcid:0000-0001-7563-0793
agile_2024_006,agile,2024,10.5194/agile-giss-5-7-2024,1,J. Hurst,0009-0000-0004-0051,orcid:0009-0000-0004-0051
agile_2024_006,agile,2024,10.5194/agile-giss-5-7-2024,2,Auriol Degbelo,0000-0001-5087-8776,orcid:0000-0001-5087-8776
agile_2024_006,agile,2024,10.5194/agile-giss-5-7-2024,3,Christian Kray,0000-0002-4199-8976,orcid:0000-0002-4199-8976
agile_2024_014,agile,2024,10.5194/agile-giss-5-15-2024,1,Balthasar Teuscher,,name:balthasar teuscher
agile_2024_014,agile,2024,10.5194/agile-giss-5-15-2024,2,Martin Werner,0000-0002-6951-8022,orcid:0000-0002-6951-8022
giscience_2016_003,giscience,2016,10.1007/978-3-319-45738-3_3,1,Carson Farmer,0000-0003-1643-5976,orcid:0000-0003-1643-5976
giscience_2016_003,giscience,2016,10.1007/978-3-319-45738-3_3,2,Carsten Keßler,0000-0002-9724-820X,orcid:0000-0002-9724-820X
giscience_2016_011,giscience,2016,10.1007/978-3-319-45738-3_11,1,Ashwin Shashidharan,,name:ashwin shashidharan
giscience_2016_011,giscience,2016,10.1007/978-3-319-45738-3_11,2,Derek Van Berkel,0000-0002-1001-783X,orcid:0000-0002-1001-783X
giscience_2016_011,giscience,2016,10.1007/978-3-319-45738-3_11,3,Ranga Raju Vatsavai,0000-0002-7083-0267,orcid:0000-0002-7083-0267
giscience_2016_011,giscience,2016,10.1007/978-3-319-45738-3_11,4,Ross K. Meentemeyer,0000-0002-1247-6212,orcid:0000-0002-1247-6212
giscience_2016_019,giscience,2016,10.1007/978-3-319-45738-3_19,1,Arthur van Goethem,,name:arthur goethem van
giscience_2016_019,giscience,2016,10.1007/978-3-319-45738-3_19,2,Marc van Kreveld,0000-0001-8208-3468,orcid:0000-0001-8208-3468
giscience_2016_019,giscience,2016,10.1007/978-3-319-45738-3_19,3,Bettina Speckmann,0000-0002-8514-7858,orcid:0000-0002-8514-7858
giscience_2018_002,giscience,2018,10.4230/LIPIcs.GIScience.2018.2,1,Alberto Belussi,0000-0003-3023-8020,orcid:0000-0003-3023-8020
giscience_2018_002,giscience,2018,10.4230/LIPIcs.GIScience.2018.2,2,Damiano Carra,0000-0002-3467-1166,orcid:0000-0002-3467-1166
giscience_2018_002,giscience,2018,10.4230/LIPIcs.GIScience.2018.2,3,Sara Migliorini,0000-0003-3675-7243,orcid:0000-0003-3675-7243
giscience_2018_002,giscience,2018,10.4230/LIPIcs.GIScience.2018.2,4,Mauro Negri,0000-0001-9560-0575,orcid:0000-0001-9560-0575
giscience_2018_002,giscience,2018,10.4230/LIPIcs.GIScience.2018.2,5,Giuseppe Pelagatti,,name:giuseppe pelagatti
giscience_2018_010,giscience,2018,10.4230/LIPIcs.GIScience.2018.10,1,Yan Li,0000-0001-6018-6538,orcid:0000-0001-6018-6538
giscience_2018_010,giscience,2018,10.4230/LIPIcs.GIScience.2018.10,2,Shashi Shekhar,0000-0001-8837-192X,orcid:0000-0001-8837-192X
giscience_2021_002,giscience,2020,10.4230/lipics.giscience.2021.i.2,1,"Bucher, Dominik",0000-0001-9824-5388,orcid:0000-0001-9824-5388
giscience_2021_002,giscience,2020,10.4230/lipics.giscience.2021.i.2,2,"Martin, Henry",,orcid:0000-0002-0456-8539
giscience_2021_002,giscience,2020,10.4230/lipics.giscience.2021.i.2,3,"Jonietz, David",,name:david jonietz
giscience_2021_002,giscience,2020,10.4230/lipics.giscience.2021.i.2,4,"Raubal, Martin",0000-0001-5951-6835,orcid:0000-0001-5951-6835
giscience_2021_002,giscience,2020,10.4230/lipics.giscience.2021.i.2,5,"Westerholt, René",0000-0001-8228-3814,orcid:0000-0001-8228-3814
giscience_2021_010,giscience,2020,10.4230/lipics.giscience.2021.i.10,1,Jaehee Park,0000-0002-2640-4148,orcid:0000-0002-2640-4148
giscience_2021_010,giscience,2020,10.4230/lipics.giscience.2021.i.10,2,Hao Zhang,0000-0001-6522-1566,orcid:0000-0001-6522-1566
giscience_2021_010,giscience,2020,10.4230/lipics.giscience.2021.i.10,3,Su Yeon Han,0000-0002-3906-4533,orcid:0000-0002-3906-4533
giscience_2021_010,giscience,2020,10.4230/lipics.giscience.2021.i.10,4,Atsushi Nara,0000-0003-4173-7773,orcid:0000-0003-4173-7773
giscience_2021_010,giscience,2020,10.4230/lipics.giscience.2021.i.10,5,Ming‐Hsiang Tsou,0000-0003-3421-486X,orcid:0000-0003-3421-486X
giscience_2021_017,giscience,2021,10.4230/lipics.giscience.2021.ii.1,1,Fiona Polzin,,name:fiona polzin
giscience_2021_017,giscience,2021,10.4230/lipics.giscience.2021.ii.1,2,Ourania Kounadi,0000-0002-5998-7343,orcid:0000-0002-5998-7343
giscience_2021_026,giscience,2021,10.4230/lipics.giscience.2021.ii.10,1,Ankush Acharyya,0000-0001-5432-7568,orcid:0000-0001-5432-7568
giscience_2021_026,giscience,2021,10.4230/lipics.giscience.2021.ii.10,2,Ramesh K. Jallu,0000-0001-8811-5694,orcid:0000-0001-8811-5694
giscience_2021_026,giscience,2021,10.4230/lipics.giscience.2021.ii.10,3,Maarten Löffler,,name:loffler maarten
giscience_2021_026,giscience,2021,10.4230/lipics.giscience.2021.ii.10,4,Gert G.T. Meijer,,name:gert meijer
giscience_2021_026,giscience,2021,10.4230/lipics.giscience.2021.ii.10,5,Maria Saumell,0000-0002-4704-2609,orcid:0000-0002-4704-2609
giscience_2021_026,giscience,2021,10.4230/lipics.giscience.2021.ii.10,6,Rodrigo I. Silveira,0000-0003-0202-4543,orcid:0000-0003-0202-4543
giscience_2021_026,giscience,2021,10.4230/lipics.giscience.2021.ii.10,7,Frank Staals,,name:frank staals
giscience_2023_001,giscience,2023,10.4230/LIPIcs.GIScience.2023.1,1,"Alinaghi, Negar",0000-0001-6594-4481,orcid:0000-0001-6594-4481
giscience_2023_001,giscience,2023,10.4230/LIPIcs.GIScience.2023.1,2,"Kwok, Tiffany C. K.",0000-0001-9782-4847,orcid:0000-0001-9782-4847
giscience_2023_001,giscience,2023,10.4230/LIPIcs.GIScience.2023.1,3,"Kiefer, Peter",0000-0003-4457-0438,orcid:0000-0003-4457-0438
giscience_2023_001,giscience,2023,10.4230/LIPIcs.GIScience.2023.1,4,"Giannopoulos, Ioannis",0000-0002-2556-5230,orcid:0000-0002-2556-5230
giscience_2023_009,giscience,2023,10.4230/LIPIcs.GIScience.2023.9,1,"McKenzie, Grant",0000-0003-3247-2777,orcid:0000-0003-3247-2777
giscience_2023_009,giscience,2023,10.4230/LIPIcs.GIScience.2023.9,2,"Zhang, Hongyu",0000-0002-5137-6177,orcid:0000-0002-5137-6177
agile_2017_001,agile,2017,10.1007/978-3-319-56759-4_1,1,Vanessa Joy A. Anacta,0000-0002-6224-8541,orcid:0000-0002-6224-8541
agile_2017_001,agile,2017,10.1007/978-3-319-56759-4_1,2,Mohammed Imaduddin Humayun,,name:humayun imaduddin mohammed
agile_2017_001,agile,2017,10.1007/978-3-319-56759-4_1,3,Angela Schwering,0000-0002-4185-1464,orcid:0000-0002-4185-1464
agile_2017_001,agile,2017,10.1007/978-3-319-56759-4_1,4,Jakub Krukar,0000-0003-2615-8757,orcid:0000-0003-2615-8757
agile_2017_009,agile,2017,10.1007/978-3-319-56759-4_9,1,Colin Robertson,0000-0003-0998-2971,orcid:0000-0003-0998-2971
agile_2017_009,agile,2017,10.1007/978-3-319-56759-4_9,2,Rob Feick,0000-0003-1061-9045,orcid:0000-0003-1061-9045
agile_2017_009,agile,2017,10.1007/978-3-319-56759-4_9,3,Martin Sýkora,0000-0002-5363-5857,orcid:0000-0002-5363-5857
agile_2017_009,agile,2017,10.1007/978-3-319-56759-4_9,4,Ketan Shankardass,0000-0002-8410-2201,orcid:0000-0002-8410-2201
agile_2017_009,agile,2017,10.1007/978-3-319-56759-4_9,5,Krystelle Shaughnessy,0000-0002-4609-0799,orcid:0000-0002-4609-0799
agile_2017_017,agile,2017,10.1007/978-3-319-56759-4_17,1,Fabio Veronesi,0000-0002-3105-7275,orcid:0000-0002-3105-7275
agile_2017_017,agile,2017,10.1007/978-3-319-56759-4_17,2,Athina Korfiati,,name:athina korfiati
agile_2017_017,agile,2017,10.1007/978-3-319-56759-4_17,3,René Buffat,,name:buffat rene
agile_2017_017,agile,2017,10.1007/978-3-319-56759-4_17,4,Martin Raubal,0000-0001-5951-6835,orcid:0000-0001-5951-6835
agile_2019_006,agile,2019,10.1007/978-3-030-14745-7_6,1,Gerhard Navratil,0000-0002-2978-5724,orcid:0000-0002-2978-5724
agile_2019_006,agile,2019,10.1007/978-3-030-14745-7_6,2,Ioannis Giannopoulos,0000-0002-2556-5230,orcid:0000-0002-2556-5230
agile_2019_006,agile,2019,10.1007/978-3-030-14745-7_6,3,Gilbert Kotzbek,,name:gilbert kotzbek
agile_2019_014,agile,2019,10.1007/978-3-030-14745-7_14,1,Romain Mejean,0000-0003-2194-3107,orcid:0000-0003-2194-3107
agile_2019_014,agile,2019,10.1007/978-3-030-14745-7_14,2,Martin Paegelow,,name:martin paegelow
agile_2019_014,agile,2019,10.1007/978-3-030-14745-7_14,3,Mehdi Saqalli,0000-0001-5405-466X,orcid:0000-0001-5405-466X
agile_2019_014,agile,2019,10.1007/978-3-030-14745-7_14,4,Doryan Kaced,,name:doryan kaced
agile_2018_007,agile,2018,10.1007/978-3-319-78208-9_7,1,Andrea Ballatore,0000-0003-3477-7654,orcid:0000-0003-3477-7654
agile_2018_007,agile,2018,10.1007/978-3-319-78208-9_7,2,Simon Scheider,0000-0002-2267-4810,orcid:0000-0002-2267-4810
agile_2018_007,agile,2018,10.1007/978-3-319-78208-9_7,3,Rob Lemmens,0000-0001-5269-6343,orcid:0000-0001-5269-6343
agile_2018_015,agile,2018,10.1007/978-3-319-78208-9_15,1,David Jonietz,,name:david jonietz
agile_2018_015,agile,2018,10.1007/978-3-319-78208-9_15,2,Dominik Bucher,0000-0001-9824-5388,orcid:0000-0001-9824-5388
agile_2018_015,agile,2018,10.1007/978-3-319-78208-9_15,3,Henry Martin,0000-0002-0456-8539,orcid:0000-0002-0456-8539
agile_2018_015,agile,2018,10.1007/978-3-319-78208-9_15,4,Martin Raubal,0000-0001-5951-6835,orcid:0000-0001-5951-6835
agile_2021_002,agile,2021,10.5194/agile-giss-2-2-2021,1,Rémy Decoupes,0000-0003-0863-9581,orcid:0000-0003-0863-9581
agile_2021_002,agile,2021,10.5194/agile-giss-2-2-2021,2,Rodrique Kafando,0000-0002-7190-9225,orcid:0000-0002-7190-9225
agile_2021_002,agile,2021,10.5194/agile-giss-2-2-2021,3,Mathieu Roche,0000-0003-3272-8568,orcid:0000-0003-3272-8568
agile_2021_002,agile,2021,10.5194/agile-giss-2-2-2021,4,Maguelonne Teisseire,0000-0001-9313-6414,orcid:0000-0001-9313-6414
agile_2021_010,agile,2021,10.5194/agile-giss-2-10-2021,1,F. Politz,,name:politz
agile_2021_010,agile,2021,10.5194/agile-giss-2-10-2021,2,Monika Sester,0000-0002-6656-8809,orcid:0000-0002-6656-8809
agile_2021_010,agile,2021,10.5194/agile-giss-2-10-2021,3,Claus Brenner,0000-0002-6459-0682,orcid:0000-0002-6459-0682
agile_2020_001,agile,2020,10.5194/agile-giss-1-2-2020,1,Dominik Bucher,0000-0001-9824-5388,orcid:0000-0001-9824-5388
agile_2020_001,agile,2020,10.5194/agile-giss-1-2-2020,2,Henry Martin,0000-0002-0456-8539,orcid:0000-0002-0456-8539
agile_2020_001,agile,2020,10.5194/agile-giss-1-2-2020,3,Jannik Hamper,,name:hamper jannik
agile_2020_001,agile,2020,10.5194/agile-giss-1-2-2020,4,Atefeh Jaleh,,name:atefeh jaleh
agile_2020_001,agile,2020,10.5194/agile-giss-1-2-2020,5,Henrik Becker,0000-0002-0376-4802,orcid:0000-0002-0376-4802
agile_2020_001,agile,2020,10.5194/agile-giss-1-2-2020,6,Pengxiang Zhao,0000-0002-5279-9331,orcid:0000-0002-5279-9331
agile_2020_001,agile,2020,10.5194/agile-giss-1-2-2020,7,Martin Raubal,0000-0001-5951-6835,orcid:0000-0001-5951-6835
agile_2020_009,agile,2020,10.5194/agile-giss-1-10-2020,1,Michel Krämer,0000-0003-2775-5844,orcid:0000-0003-2775-5844
agile_2020_009,agile,2020,10.5194/agile-giss-1-10-2020,2,Ralf Gutbell,,name:gutbell ralf
agile_2020_009,agile,2020,10.5194/agile-giss-1-10-2020,3,Hendrik M. Würz,0000-0002-4664-953X,orcid:0000-0002-4664-953X
agile_2020_009,agile,2020,10.5194/agile-giss-1-10-2020,4,Jannis Weil,0000-0001-5439-9131,orcid:0000-0001-5439-9131
agile_2020_017,agile,2020,10.5194/agile-giss-1-18-2020,1,Toshihiro Osaragi,0000-0002-6327-3976,orcid:0000-0002-6327-3976
agile_2022_015,agile,2022,10.5194/agile-giss-3-15-2022,1,Hyesop Shin,0000-0003-2637-7933,orcid:0000-0003-2637-7933
agile_2022_015,agile,2022,10.5194/agile-giss-3-15-2022,2,Costanza Cagnina,0009-0008-9899-8388,orcid:0009-0008-9899-8388
agile_2022_015,agile,2022,10.5194/agile-giss-3-15-2022,3,Anahid Basiri,0000-0002-2399-1797,orcid:0000-0002-2399-1797
agile_2023_005,agile,2023,10.5194/agile-giss-4-6-2023,1,Falko Krügel,0009-0000-9858-7230,orcid:0009-0000-9858-7230
agile_2023_005,agile,2023,10.5194/agile-giss-4-6-2023,2,Stephan Mäs,0000-0002-9016-1996,orcid:0000-0002-9016-1996
agile_2024_007,agile,2024,10.5194/agile-giss-5-8-2024,1,Irada Ismayilova,,name:irada ismayilova
agile_2024_007,agile,2024,10.5194/agile-giss-5-8-2024,2,Sabine Timpf,0000-0002-7964-4110,orcid:0000-0002-7964-4110
giscience_2016_004,giscience,2016,10.1007/978-3-319-45738-3_4,1,Emre Eftelioglu,0000-0002-5551-0046,orcid:0000-0002-5551-0046
giscience_2016_004,giscience,2016,10.1007/978-3-319-45738-3_4,2,Yan Li,0000-0001-6682-0456,orcid:0000-0001-6682-0456
giscience_2016_004,giscience,2016,10.1007/978-3-319-45738-3_4,3,Xun Tang,0000-0003-0274-0312,orcid:0000-0003-0274-0312
giscience_2016_004,giscience,2016,10.1007/978-3-319-45738-3_4,4,Shashi Shekhar,0000-0001-8837-192X,orcid:0000-0001-8837-192X
giscience_2016_004,giscience,2016,10.1007/978-3-319-45738-3_4,5,James M. Kang,,name:james kang
giscience_2016_004,giscience,2016,10.1007/978-3-319-45738-3_4,6,Christopher Farah,,name:christopher farah
giscience_2016_020,giscience,2016,10.1007/978-3-319-45738-3_20,1,Benjamin Niedermann,0000-0001-6638-7250,orcid:0000-0001-6638-7250
giscience_2016_020,giscience,2016,10.1007/978-3-319-45738-3_20,2,Martin Nöllenburg,0000-0003-0454-3937,orcid:0000-0003-0454-3937
giscience_2018_003,giscience,2018,10.4230/LIPIcs.GIScience.2018.3,1,"Fogliaroni, Paolo",,name:fogliaroni paolo
giscience_2018_003,giscience,2018,10.4230/LIPIcs.GIScience.2018.3,2,"Bucher, Dominik",,orcid:0000-0001-9824-5388
giscience_2018_003,giscience,2018,10.4230/LIPIcs.GIScience.2018.3,3,"Jankovic, Nikola",,name:jankovic nikola
giscience_2018_003,giscience,2018,10.4230/LIPIcs.GIScience.2018.3,4,"Giannopoulos, Ioannis",,orcid:0000-0002-2556-5230
giscience_2018_011,giscience,2018,10.4230/LIPIcs.GIScience.2018.11,1,Yann Méneroux,0000-0001-9126-7496,orcid:0000-0001-9126-7496
giscience_2018_011,giscience,2018,10.4230/LIPIcs.GIScience.2018.11,2,Hiroshi Kanasugi,0000-0001-6503-1842,orcid:0000-0001-6503-1842
giscience_2018_011,giscience,2018,10.4230/LIPIcs.GIScience.2018.11,3,Guillaume Saint Pierre,0000-0003-2375-3649,orcid:0000-0003-2375-3649
giscience_2018_011,giscience,2018,10.4230/LIPIcs.GIScience.2018.11,4,Arnaud Le Guilcher,0000-0001-6673-6158,orcid:0000-0001-6673-6158
giscience_2018_011,giscience,2018,10.4230/LIPIcs.GIScience.2018.11,5,Sébastien Mustière,0000-0002-0272-3320,orcid:0000-0002-0272-3320
giscience_2018_011,giscience,2018,10.4230/LIPIcs.GIScience.2018.11,6,Ryosuke Shibasaki,0000-0001-8760-244X,orcid:0000-0001-8760-244X
giscience_2018_011,giscience,2018,10.4230/LIPIcs.GIScience.2018.11,7,Yugo Kato,,name:kato yugo
giscience_2021_003,giscience,2020,10.4230/lipics.giscience.2021.i.3,1,Xueqing Deng,0000-0003-0991-6966,orcid:0000-0003-0991-6966
giscience_2021_003,giscience,2020,10.4230/lipics.giscience.2021.i.3,2,Yuxin Tian,0000-0002-3056-5753,orcid:0000-0002-3056-5753
giscience_2021_003,giscience,2020,10.4230/lipics.giscience.2021.i.3,3,Shawn Newsam,0000-0001-6803-5291,orcid:0000-0001-6803-5291
giscience_2021_011,giscience,2020,10.4230/lipics.giscience.2021.i.11,1,"Qutbuddin, Ahmad",0000-0002-1401-5532,orcid:0000-0002-1401-5532
giscience_2021_011,giscience,2020,10.4230/lipics.giscience.2021.i.11,2,"Yang, KwangSoo",0000-0003-4293-9908,orcid:0000-0003-4293-9908
giscience_2021_019,giscience,2021,10.4230/lipics.giscience.2021.ii.3,1,Christina Ludwig,0000-0003-4669-3298,orcid:0000-0003-4669-3298
giscience_2021_019,giscience,2021,10.4230/lipics.giscience.2021.ii.3,2,Sven Lautenbach,,orcid:0000-0003-1825-9996
giscience_2021_019,giscience,2021,10.4230/lipics.giscience.2021.ii.3,3,Eva-Marie Schömann,,name:eva marie schomann
giscience_2021_019,giscience,2021,10.4230/lipics.giscience.2021.ii.3,4,Alexander Zipf,0000-0003-4916-9838,orcid:0000-0003-4916-9838
giscience_2021_027,giscience,2021,10.4230/lipics.giscience.2021.ii.11,1,Isabella Kreller,,name:isabella kreller
giscience_2021_027,giscience,2021,10.4230/lipics.giscience.2021.ii.11,2,Bernd Ludwig,0000-0003-3599-2081,orcid:0000-0003-3599-2081
giscience_2023_002,giscience,2023,10.4230/LIPIcs.GIScience.2023.2,1,Thomas Depian,0009-0003-7498-6271,orcid:0009-0003-7498-6271
giscience_2023_002,giscience,2023,10.4230/LIPIcs.GIScience.2023.2,2,Guangping Li,0000-0002-7966-076X,orcid:0000-0002-7966-076X
giscience_2023_002,giscience,2023,10.4230/LIPIcs.GIScience.2023.2,3,Martin Nöllenburg,0000-0003-0454-3937,orcid:0000-0003-0454-3937
giscience_2023_002,giscience,2023,10.4230/LIPIcs.GIScience.2023.2,4,Jules Wulms,0000-0002-9314-8260,orcid:0000-0002-9314-8260
giscience_2023_010,giscience,2023,10.4230/LIPIcs.GIScience.2023.10,1,"van Beusekom, Nathan",0000-0003-1813-5299,orcid:0000-0003-1813-5299
giscience_2023_010,giscience,2023,10.4230/LIPIcs.GIScience.2023.10,2,"Meulemans, Wouter",0000-0002-4978-3400,orcid:0000-0002-4978-3400
giscience_2023_010,giscience,2023,10.4230/LIPIcs.GIScience.2023.10,3,"Speckmann, Bettina",0000-0002-8514-7858,orcid:0000-0002-8514-7858
giscience_2023_010,giscience,2023,10.4230/LIPIcs.GIScience.2023.10,4,"Wood, Jo",0000-0001-9270-247X,orcid:0000-0001-9270-247X
agile_2018_002,agile,2018,10.1007/978-3-319-78208-9_2,1,Syed Monjur Murshed,0000-0002-6786-9881,orcid:0000-0002-6786-9881
agile_2018_002,agile,2018,10.1007/978-3-319-78208-9_2,2,A. Lindsay,,name:lindsay
agile_2018_002,agile,2018,10.1007/978-3-319-78208-9_2,3,Solène Picard,,name:picard solene
agile_2018_002,agile,2018,10.1007/978-3-319-78208-9_2,4,Alexander Simons,,name:alexander simons
agile_2017_004,agile,2017,10.1007/978-3-319-56759-4_4,1,Jana Götze,,name:gotze jana
agile_2017_004,agile,2017,10.1007/978-3-319-56759-4_4,2,Johan Boye,0000-0003-2600-7668,orcid:0000-0003-2600-7668
agile_2017_012,agile,2017,10.1007/978-3-319-56759-4_12,1,Hai Huang,0000-0001-8745-8142,orcid:0000-0001-8745-8142
agile_2017_012,agile,2017,10.1007/978-3-319-56759-4_12,2,Helmut Mayer,0000-0002-9439-2695,orcid:0000-0002-9439-2695
agile_2019_001,agile,2019,10.1007/978-3-030-14745-7_1,1,Ehsan Hamzei,0000-0002-4712-230X,orcid:0000-0002-4712-230X
agile_2019_001,agile,2019,10.1007/978-3-030-14745-7_1,2,Haonan Li,0000-0002-6993-7948,orcid:0000-0002-6993-7948
agile_2019_001,agile,2019,10.1007/978-3-030-14745-7_1,3,Maria Vasardani,0000-0003-0208-0561,orcid:0000-0003-0208-0561
agile_2019_001,agile,2019,10.1007/978-3-030-14745-7_1,4,Timothy Baldwin,0000-0003-4525-6950,orcid:0000-0003-4525-6950
agile_2019_001,agile,2019,10.1007/978-3-030-14745-7_1,5,Stephan Winter,0000-0002-3403-6939,orcid:0000-0002-3403-6939
agile_2019_001,agile,2019,10.1007/978-3-030-14745-7_1,6,Martin Tomko,0000-0002-5736-4679,orcid:0000-0002-5736-4679
agile_2019_009,agile,2019,10.1007/978-3-030-14745-7_9,1,Andrea Ballatore,0000-0003-3477-7654,orcid:0000-0003-3477-7654
