paper,title,doi,openalex_title,sim_openalex
agile_2021_016,Mining Map Interaction Semantics in web-based Geographic Information Systems (WebGIS) for Usability Analysis (copernicus.org),10.5194/agile-giss-2-16-2021,Mining Map Interaction Semantics in web-based Geographic Information Systems (WebGIS) for Usability Analysis,0.933920704845815
agile_2022_005,Spatial Disaggregation of Population Subgroups Leveraging Self-Trained Multi-Output Gradient Boosting Regression Trees,10.5194/agile-giss-3-5-2022,Spatial Disaggregation of Population Subgroups Leveraging Self-Trained Multi-Output Gradient Boosting Regression Trees,1.0
agile_2022_013,Experimental evaluation of using BLE beacon for outdoor positioning in GPS-denied environment,10.5194/agile-giss-3-13-2022,Experimental evaluation of using BLE beacon for outdoor positioning in GPS-denied environment,1.0
agile_2022_021,COVID-Forecast-Graph: An Open Knowledge Graph for Consolidating COVID-19 Forecasts and Economic Indicators via Place and Time,10.5194/agile-giss-3-21-2022,COVID-Forecast-Graph: An Open Knowledge Graph for Consolidating COVID-19 Forecasts and Economic Indicators via Place and Time,1.0
agile_2023_003,Indoor localisation and location tracking in indoor facilities based on LiDAR point clouds and images of the ceilings,10.5194/agile-giss-4-4-2023,Indoor localisation and location tracking in indoor facilities based on LiDAR point clouds and images of the ceilings,1.0
agile_2023_011,Evaluating and Comparing Airspace Structure Visualisation and Perception on Digital Aeronautical Charts,10.5194/agile-giss-4-12-2023,Evaluating and Comparing Airspace Structure Visualisation and Perception on Digital Aeronautical Charts,1.0
agile_2024_005,Road Network Mapping from Multispectral Satellite Imagery: Leveraging Deep Learning and Spectral Bands,10.5194/agile-giss-5-6-2024,Road Network Mapping from Multispectral Satellite Imagery: Leveraging Deep Learning and Spectral Bands,1.0
agile_2024_013,Evaluating geotemporal behaviours of OpenStreetMap contributors,10.5194/agile-giss-5-14-2024,Evaluating geotemporal behaviours of OpenStreetMap contributors,1.0
giscience_2016_002,Partitioning Polygons via Graph Augmentation,10.1007/978-3-319-45738-3_2,Partitioning Polygons via Graph Augmentation,1.0
giscience_2016_010,Scaling Behavior of Human Mobility Distributions,10.1007/978-3-319-45738-3_10,Scaling Behavior of Human Mobility Distributions,1.0
giscience_2018_001,Early Detection of Herding Behaviour during Emergency Evacuations,10.4230/LIPIcs.GIScience.2018.1,Early Detection of Herding Behaviour during Emergency Evacuations,1.0
giscience_2018_009,Improving Discovery of Open Civic Data,10.4230/LIPIcs.GIScience.2018.9,Improving Discovery of Open Civic Data,1.0
giscience_2018_017,xNet+SC: Classifying Places Based on Images by Incorporating Spatial Contexts,10.4230/LIPIcs.GIScience.2018.17,xNet+SC: Classifying Places Based on Images by Incorporating Spatial Contexts,1.0
giscience_2021_001,Using Georeferenced Twitter Data to Estimate Pedestrian Traffic in an Urban Road Network,10.4230/lipics.giscience.2021.i.1,Using Georeferenced Twitter Data to Estimate Pedestrian Traffic in an Urban Road Network,1.0
giscience_2021_009,Traffic Congestion Aware Route Assignment,10.4230/lipics.giscience.2021.i.9,Traffic Congestion Aware Route Assignment,1.0
giscience_2021_018,Reproducible Research and GIScience: An Evaluation Using GIScience Conference Papers,10.4230/lipics.giscience.2021.ii.2,Reproducible Research and GIScience: An Evaluation Using GIScience Conference Papers,1.0
giscience_2021_025,Navigating Your Way! Increasing the Freedom of Choice During Wayfinding,10.4230/lipics.giscience.2021.ii.9,Navigating Your Way! Increasing the Freedom of Choice During Wayfinding,1.0
giscience_2023_008,Towards a Multidimensional Interaction Framework for Promoting Public Engagement in Citizen Science Projects,10.4230/LIPIcs.GIScience.2023.8,Towards a Multidimensional Interaction Framework for Promoting Public Engagement in Citizen Science Projects,1.0
