paper,title,doi,openalex_title,sim_openalex
giscience_2021_011,Multiple Resource Network Voronoi Diagram,10.4230/lipics.giscience.2021.i.11,Multiple Resource Network Voronoi Diagram,1.0
giscience_2021_019,Comparison of Simulated Fast and Green Routes for Cyclists and Pedestrians,10.4230/lipics.giscience.2021.ii.3,Comparison of Simulated Fast and Green Routes for Cyclists and Pedestrians,1.0
giscience_2021_027,User Preferences and the Shortest Path,10.4230/lipics.giscience.2021.ii.11,User Preferences and the Shortest Path,1.0
giscience_2023_002,Transitions in Dynamic Point Labeling,10.4230/LIPIcs.GIScience.2023.2,Transitions in Dynamic Point Labeling,1.0
giscience_2023_010,Data-Spatial Layouts for Grid Maps,10.4230/LIPIcs.GIScience.2023.10,Data-Spatial Layouts for Grid Maps,1.0
agile_2018_002,PLANTING: Computing High Spatio-temporal Resolutions of Photovoltaic Potential of 3D City Models,10.1007/978-3-319-78208-9_2,PLANTING: Computing High Spatio-temporal Resolutions of Photovoltaic Potential of 3D City Models,1.0
agile_2017_004,Reference Resolution for Pedestrian Wayfinding Systems,10.1007/978-3-319-56759-4_4,Reference Resolution for Pedestrian Wayfinding Systems,1.0
agile_2017_012,Towards Automatic Large-Scale 3D Building Reconstruction: Primitive Decomposition and Assembly,10.1007/978-3-319-56759-4_12,Towards Automatic Large-Scale 3D Building Reconstruction: Primitive Decomposition and Assembly,1.0
agile_2019_001,Place Questions and Human-Generated Answers: A Data Analysis Approach,10.1007/978-3-030-14745-7_1,Place Questions and Human-Generated Answers: A Data Analysis Approach,1.0
agile_2019_009,Tracing Tourism Geographies with Google Trends: A Dutch Case Study,10.1007/978-3-030-14745-7_9,Tracing Tourism Geographies with Google Trends: A Dutch Case Study,1.0
agile_2019_017,Agent-Based Simulation for Indoor Manufacturing Environments—Evaluating the Effects of Spatialization,10.1007/978-3-030-14745-7_17,Agent-Based Simulation for Indoor Manufacturing Environments—Evaluating the Effects of Spatialization,1.0
agile_2021_005,Urban heat island modelling based on MUKLIMO: examples from Slovakia (copernicus.org),10.5194/agile-giss-2-5-2021,Urban heat island modelling based on MUKLIMO: examples from Slovakia,0.8993288590604027
agile_2021_013,An Approach to Assess the Effect of Currentness of Spatial Data on Routing Quality (copernicus.org),10.5194/agile-giss-2-13-2021,An Approach to Assess the Effect of Currentness of Spatial Data on Routing Quality,0.9162011173184358
agile_2020_004,A taxonomy for classifying user groups in location-based social media,10.5194/agile-giss-1-5-2020,A taxonomy for classifying user groups in location-based social media,1.0
agile_2020_012,Semantically-Enriched Search Engine for Geoportals: A Case Study with ArcGIS Online,10.5194/agile-giss-1-13-2020,Semantically-Enriched Search Engine for Geoportals: A Case Study with ArcGIS Online,1.0
agile_2020_020,Window Operators for Processing Spatio-Temporal Data Streams on Unmanned Vehicles,10.5194/agile-giss-1-21-2020,Window Operators for Processing Spatio-Temporal Data Streams on Unmanned Vehicles,1.0
agile_2022_002,Understanding the Imperfection of 3D point Cloud and Semantic Segmentation algorithms for 3D Models of Indoor Environment,10.5194/agile-giss-3-2-2022,Understanding the Imperfection of 3D point Cloud and Semantic Segmentation algorithms for 3D Models of Indoor Environment,1.0
agile_2022_010,Benchmarking Invasive Alien Species Image Recognition Models for a Citizen Science Based Spatial Distribution Monitoring,10.5194/agile-giss-3-10-2022,Benchmarking Invasive Alien Species Image Recognition Models for a Citizen Science Based Spatial Distribution Monitoring,1.0
agile_2023_008,Urban Sound Mapping for Wayfinding – A theoretical Approach and an empirical Study,10.5194/agile-giss-4-9-2023,Urban Sound Mapping for Wayfinding – A theoretical Approach and an empirical Study,1.0
agile_2024_002,A model-driven methodology for integrating heterogeneous 3D geospatial urban entities,10.5194/agile-giss-5-3-2024,A model-driven methodology for integrating heterogeneous 3D geospatial urban entities,1.0
agile_2024_010,Towards semantic enrichment of Earth Observation data: The LEODS framework,10.5194/agile-giss-5-11-2024,Towards semantic enrichment of Earth Observation data: The LEODS framework,1.0
giscience_2016_007,On Distortion of Raster-Based Least-Cost Corridors,10.1007/978-3-319-45738-3_7,On Distortion of Raster-Based Least-Cost Corridors,1.0
giscience_2016_015,Modeling Checkpoint-Based Movement with the Earth Mover’s Distance,10.1007/978-3-319-45738-3_15,Modeling Checkpoint-Based Movement with the Earth Mover’s Distance,1.0
giscience_2018_006,Outlier Detection and Comparison of Origin-Destination Flows Using Data Depth,10.4230/LIPIcs.GIScience.2018.6,Outlier Detection and Comparison of Origin-Destination Flows Using Data Depth,1.0
giscience_2018_014,Continuous Obstructed Detour Queries,10.4230/LIPIcs.GIScience.2018.14,Continuous Obstructed Detour Queries,1.0
giscience_2021_006,How Do People Describe Locations During a Natural Disaster: An Analysis of Tweets from Hurricane Harvey,10.4230/lipics.giscience.2021.i.6,How Do People Describe Locations During a Natural Disaster: An Analysis of Tweets from Hurricane Harvey,1.0
giscience_2021_014,"You Are Not Alone: Path Search Models, Traffic, and Social Costs",10.4230/lipics.giscience.2021.i.14,"You Are Not Alone: Path Search Models, Traffic, and Social Costs",1.0
giscience_2021_022,Bicriteria Aggregation of Polygons via Graph Cuts,10.4230/lipics.giscience.2021.ii.6,Bicriteria Aggregation of Polygons via Graph Cuts,1.0
giscience_2023_005,Visualizing Geophylogenies - Internal and External Labeling with Phylogenetic Tree Constraints,10.4230/LIPIcs.GIScience.2023.5,Visualizing Geophylogenies - Internal and External Labeling with Phylogenetic Tree Constraints,1.0
agile_2017_005,3D Building Maps for Everyone—Mapping Buildings Using VGI,10.1007/978-3-319-56759-4_5,3D Building Maps for Everyone—Mapping Buildings Using VGI,1.0
agile_2018_003,Interpolation of Rainfall Through Polynomial Regression in the Marche Region (Central Italy),10.1007/978-3-319-78208-9_3,Interpolation of Rainfall Through Polynomial Regression in the Marche Region (Central Italy),1.0
agile_2018_011,"Development of System for Real-Time Collection, Sharing, and Use of Disaster Information",10.1007/978-3-319-78208-9_11,"Development of System for Real-Time Collection, Sharing, and Use of Disaster Information",1.0
agile_2018_019,Animation as a Visual Indicator of Positional Uncertainty in Geographic Information,10.1007/978-3-319-78208-9_19,Animation as a Visual Indicator of Positional Uncertainty in Geographic Information,1.0
agile_2017_013,Dynamic Transfer Patterns for Fast Multi-modal Route Planning,10.1007/978-3-319-56759-4_13,Dynamic Transfer Patterns for Fast Multi-modal Route Planning,1.0
agile_2019_002,Relaxing Unanswerable Geographic Questions Using A Spatially Explicit Knowledge Graph Embedding Model,10.1007/978-3-030-14745-7_2,Relaxing Unanswerable Geographic Questions Using A Spatially Explicit Knowledge Graph Embedding Model,1.0
agile_2019_010,Estimating the Spatial Distribution of Vacant Houses Using Public Municipal Data,10.1007/978-3-030-14745-7_10,Estimating the Spatial Distribution of Vacant Houses Using Public Municipal Data,1.0
