identity,name,group,conf,year,paper,consolidated_data,consolidated_methods,consolidated_results
orcid:0000-0002-8514-7858,Bettina Speckmann,giscience_pre,giscience,2016,giscience_2016_019,U,D,D
orcid:0000-0002-8514-7858,Bettina Speckmann,giscience_post,giscience,2021,giscience_2021_023,U,D,D
orcid:0000-0002-8514-7858,Bettina Speckmann,giscience_post,giscience,2021,giscience_2021_024,U,A,D
orcid:0000-0002-8514-7858,"Speckmann, Bettina",giscience_post,giscience,2023,giscience_2023_010,D,A,D
orcid:0000-0002-8910-9445,Rui Zhu,agile_pre,agile,2017,agile_2017_019,U,D,D
orcid:0000-0002-8910-9445,Rui Zhu,giscience_pre,giscience,2018,giscience_2018_017,D,D,D
orcid:0000-0002-8910-9445,Rui Zhu,agile_pre,agile,2019,agile_2019_002,A,D,D
orcid:0000-0002-9724-820X,Carsten Keßler,giscience_pre,giscience,2016,giscience_2016_003,U,D,D
orcid:0000-0002-9724-820X,Carsten Keßler,agile_pre,agile,2018,agile_2018_019,A,A,A
orcid:0000-0002-9724-820X,Carsten Keßler,agile_pre,agile,2019,agile_2019_008,U,D,D
orcid:0000-0002-9724-820X,Carsten Keßler,agile_post,agile,2022,agile_2022_005,D,A,A
orcid:0000-0003-0208-0561,Maria Vasardani,giscience_pre,giscience,2018,giscience_2018_001,D,D,D
orcid:0000-0003-0208-0561,Maria Vasardani,agile_pre,agile,2019,agile_2019_001,A,A,D
orcid:0000-0003-0454-3937,Martin Nöllenburg,giscience_pre,giscience,2016,giscience_2016_020,A,D,D
orcid:0000-0003-0454-3937,Martin Nöllenburg,giscience_post,giscience,2023,giscience_2023_002,D,D,D
orcid:0000-0003-1022-4465,Vasileios Milias,agile_post,agile,2023,agile_2023_007,D,O,O
orcid:0000-0003-1022-4465,Vasileios Milias,agile_post,agile,2024,agile_2024_001,A,A,A
orcid:0000-0003-1162-7389,Eleni Tomai,agile_post,agile,2021,agile_2021_003,O,O,O
orcid:0000-0003-1162-7389,Eleni Tomai,agile_post,agile,2023,agile_2023_012,O,O,O
orcid:0000-0003-1825-9996,Sven Lautenbach,giscience_pre,giscience,2018,giscience_2018_013,U,D,D
orcid:0000-0003-1825-9996,Sven Lautenbach,agile_post,agile,2021,agile_2021_004,D,A,D
orcid:0000-0003-1825-9996,Sven Lautenbach,giscience_post,giscience,2021,giscience_2021_019,D,A,D
orcid:0000-0003-2443-8122,Eva Nuhn,giscience_pre,giscience,2018,giscience_2018_007,U,U,D
orcid:0000-0003-2443-8122,Eva Nuhn,agile_post,agile,2022,agile_2022_012,O,A,O
orcid:0000-0003-2443-8122,Eva Nuhn,agile_post,agile,2023,agile_2023_008,O,D,D
orcid:0000-0003-2615-8757,Jakub Krukar,agile_pre,agile,2017,agile_2017_001,D,D,D
orcid:0000-0003-2615-8757,Jakub Krukar,agile_pre,agile,2017,agile_2017_007,U,D,D
orcid:0000-0003-2674-6110,Alan T. Murray,giscience_pre,giscience,2018,giscience_2018_012,U,D,U
orcid:0000-0003-2674-6110,"Murray, Alan T.",giscience_post,giscience,2023,giscience_2023_004,O,O,O
orcid:0000-0003-3052-4844,Kevin Verbeek,giscience_pre,giscience,2016,giscience_2016_015,U,D,D
orcid:0000-0003-3052-4844,Kevin Verbeek,giscience_post,giscience,2021,giscience_2021_023,U,D,D
orcid:0000-0003-3247-2777,Grant McKenzie,agile_pre,agile,2017,agile_2017_014,D,D,D
orcid:0000-0003-3247-2777,"McKenzie, Grant",giscience_post,giscience,2023,giscience_2023_009,U,A,D
orcid:0000-0003-3272-8568,Mathieu Roche,agile_post,agile,2021,agile_2021_002,D,O,O
orcid:0000-0003-3272-8568,Mathieu Roche,agile_post,agile,2022,agile_2022_016,A,A,A
orcid:0000-0003-3330-4986,Jens Ingensand,agile_pre,agile,2018,agile_2018_006,U,D,D
orcid:0000-0003-3330-4986,"Ingensand, Jens",giscience_post,giscience,2023,giscience_2023_008,D,D,D
orcid:0000-0003-3477-7654,Andrea Ballatore,agile_pre,agile,2018,agile_2018_007,A,A,A
orcid:0000-0003-3477-7654,Andrea Ballatore,agile_pre,agile,2018,agile_2018_008,U,U,D
orcid:0000-0003-3477-7654,Andrea Ballatore,agile_pre,agile,2019,agile_2019_009,A,A,A
orcid:0000-0003-3477-7654,Andrea Ballatore,agile_pre,agile,2019,agile_2019_018,A,A,A
orcid:0000-0003-3866-821X,Yanan Xin,giscience_post,giscience,2021,giscience_2021_020,D,A,A
orcid:0000-0003-3866-821X,Yanan Xin,agile_post,agile,2022,agile_2022_003,U,A,D
orcid:0000-0003-4457-0438,Peter Kiefer,giscience_pre,giscience,2016,giscience_2016_021,U,D,D
orcid:0000-0003-4457-0438,"Kiefer, Peter",giscience_post,giscience,2023,giscience_2023_001,U,D,D
